project,repo,tag,digest,size
chartsimage,k8s-sidecar,1.24.4,sha256:b91c34cd1fc82e23bb7336eef790ee74400e32fb46f13ed0d5dbf4fd38cf8040,22.72MB
chartsimage,jenkins,2.426.3-jdk17,sha256:9bc9edc808b1102894a7450c0a0523c88faaa61342907abe83c3dc1150f39218,276.13MB
chartsimage,mc,RELEASE.2018-07-13T00-53-22Z,sha256:88890e23ba30a056293bf4e83563d18ac51b4102e784c939db541bcca53c05ac,6.40MB
chartsimage,minio,RELEASE.2017-12-28T01-21-00Z,sha256:3611f1644cf5447e2f3639b4212ade26155f6a0632bef155c4d6510811c1fe1d,10.31MB
chartsimage,traefik,2.6.3,sha256:927e570af6216d91cd14497fc457d070128186480278ce06cf85aaae50bbdf4a,28.94MB
chartsimage,cfssl-self-sign,v16.8.1,sha256:ebfc6cbdee48b5b589d0d8d6f6f4e923a66177a2cdd0f6079c33b4976bf41e41,12.51MB
chartsimage,postgresql,16.1.0-debian-11-r26,sha256:2b7b847fc4715efa1c1a954127a01ce6460995de281d63a8d3f1de910c3edd49,88.33MB
chartsimage,postgresql,11.14.0-debian-10-r22,sha256:948d4ec5b40d554cb350c2e5c357c7ad399bafcb6da16bb1963a9ffe20efa488,86.36MB
chartsimage,postgresql,15.3.0-debian-11-r0,sha256:4914b1cac29134dce04f4a8bddec8df7953e415106a07b9d7da9b0adb602c345,87.18MB
chartsimage,postgres-exporter,0.15.0-debian-11-r8,sha256:a75e03e226d55fb84475ca8bd4407a1692a3f0ebf7aa2e158aacfceca8edb43b,36.07MB
chartsimage,postgres-exporter,0.12.0-debian-11-r86,sha256:07578bf09be506ea8d69f479026fc823dba4b1bd61d0d11e224152e024aea0a9,39.92MB
chartsimage,bitnami-shell,11-debian-11-r115,sha256:db3d90fab9556e72483739e15ae7bbefc34b02ac2382f1415223e3c02127a7f0,32.36MB
chartsimage,bitnami-shell,11-debian-11-r11,sha256:e34299bdd7e9aea25d0e6355e82b84975d785cd655eb2fe777151408da130a42,32.56MB
chartsimage,kafka-exporter,1.7.0-debian-11-r138,sha256:663e9387c18d6114140e8e8e0f673d409e2b28f1cdc46c8ecbcb9bf5f6f42571,36.57MB
chartsimage,kafka,3.6.1-debian-11-r4,sha256:1d700907f002c9c07ee523a7e29425c3db2fbae5c3907b66b433ed2d1a32b696,342.44MB
chartsimage,rabbitmq,3.12.12-debian-11-r3,sha256:d446fd8faff4c657a9cba7beb1fd1bef0d132b1e04f347404d89646948794a30,99.20MB
chartsimage,nfs-subdir-external-provisioner,v4.0.2,sha256:f741e403b3ca161e784163de3ebde9190905fdbf7dfaa463620ab8f16c0f6423,17.07MB
chartsimage,nginx-exporter,1.0.0-debian-11-r0,sha256:14b26038f63b1fb5f125e22629a81c7abcae430ddfead56981d33193286e0b73,35.78MB
