project,repo,tag,digest,size
argocd,haproxy,2.6.2-alpine,sha256:76d2799f5868c4dd6d2b9cee5e9c7c987c8a5e46233c53a8de8be4692d5e74f8,9.77MB
argocd,argocd,v2.6.3,sha256:08ff587f92ba682c4516107f19076e81bf630ad3ee9e20a3021fc2b2b7ab0183,137.13MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,b2efa1b5,sha256:f40e356dea57b6733446eadbee6bb501672b7e4b73d3652e86f9737297a02f47,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,5e3f9324,sha256:f40e356dea57b6733446eadbee6bb501672b7e4b73d3652e86f9737297a02f47,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,5d41f755,sha256:f40e356dea57b6733446eadbee6bb501672b7e4b73d3652e86f9737297a02f47,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,b4c1290a,sha256:f40e356dea57b6733446eadbee6bb501672b7e4b73d3652e86f9737297a02f47,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,ac3a2e6d,sha256:f40e356dea57b6733446eadbee6bb501672b7e4b73d3652e86f9737297a02f47,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,b575cc90,sha256:0e613e9656ad4d20b351db3dd11668037fda1970a1313f7dd8e5b40145bf1be1,77.23MB
bookinfo,examples-bookinfo-ratings-v-unhealthy,4aa952ae,sha256:0e613e9656ad4d20b351db3dd11668037fda1970a1313f7dd8e5b40145bf1be1,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,b2efa1b5,sha256:7eda3d7aeeca2d4552fd6d05893b97075681730d900a318bd8b644a916245f52,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,5e3f9324,sha256:7eda3d7aeeca2d4552fd6d05893b97075681730d900a318bd8b644a916245f52,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,5d41f755,sha256:7eda3d7aeeca2d4552fd6d05893b97075681730d900a318bd8b644a916245f52,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,b4c1290a,sha256:7eda3d7aeeca2d4552fd6d05893b97075681730d900a318bd8b644a916245f52,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,ac3a2e6d,sha256:7eda3d7aeeca2d4552fd6d05893b97075681730d900a318bd8b644a916245f52,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,b575cc90,sha256:a7a05350644407e4fcfdf302c008dd951ad3d31ee9215f3b910d40f0644b9028,77.23MB
bookinfo,examples-bookinfo-ratings-v-unavailable,4aa952ae,sha256:a7a05350644407e4fcfdf302c008dd951ad3d31ee9215f3b910d40f0644b9028,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,b2efa1b5,sha256:e221767e7802fb224466999e5609ba1d83b55748bff890582c63d365cf5e0de8,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,5e3f9324,sha256:e221767e7802fb224466999e5609ba1d83b55748bff890582c63d365cf5e0de8,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,5d41f755,sha256:e221767e7802fb224466999e5609ba1d83b55748bff890582c63d365cf5e0de8,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,b4c1290a,sha256:e221767e7802fb224466999e5609ba1d83b55748bff890582c63d365cf5e0de8,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,ac3a2e6d,sha256:e221767e7802fb224466999e5609ba1d83b55748bff890582c63d365cf5e0de8,77.23MB
